,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Best,3.02E-30,0,9.47E-30,13.57278715,0,85.48387955,-702.0639253,-0.000283981,-0.002665507,-0.000102842,-1027.805046,3.982526207,0,1.408518126,2.35612378,0,1.029999975,36.31492612,0,0.677477837,3.98252525,2.19E-05,1.408518509,2.35612378,6.283046086,-9.44264E+14,36.52037131,-0.65740927
Median,3.90E-29,3.99E-29,8.64E-29,13.57278715,0,144.3758489,-252.0879413,-0.000283981,-0.002665507,-0.000102842,-364.0422229,3.982543893,0,1.408518126,2.35612378,0,1.029999975,36.52108023,0,1.2474766,9.775221451,0.068515784,1.408519217,2.35612378,6.283046086,-9.40348E+14,36.52061249,0.181955637
v,0,0,0,0,0,0,0.001250935,0,0,0,8.876972453,0,0,0,0,0,15.5,0,21374.90807,0,0,0,0,0,0,15.5,0,21375.76429
mean,3.84E-29,4.84E-29,8.73E-29,13.57278715,2.29E-29,149.1494495,-281.6057577,-0.000283981,-0.002665507,-0.000102842,-382.7806746,3.982593096,7.69E-28,1.408518126,2.35612378,0,1.029999976,36.50826555,0,1.304105677,10.1242258,0.389335004,1.412141113,2.356123785,6.283046117,-9.37425E+14,36.59135359,0.6383744
Worst,8.39E-29,1.13E-28,1.95E-28,13.57278715,2.86E-28,223.825549,53.48994138,-0.000283981,-0.002665507,-0.000102842,-14.43112328,3.983098308,1.10E-26,1.408518126,2.35612378,0,1.029999984,36.52878698,0,1.852446585,28.33187564,4.011164197,1.495441283,2.356123874,6.283046346,-8.96168E+14,38.21739716,3.317340216
std,2.20E-29,3.24E-29,4.54E-29,2.87E-15,6.02E-29,36.66450425,195.3944957,5.21E-13,2.35E-16,3.34E-14,273.3280447,0.000124839,2.66E-27,8.74E-16,9.07E-16,0,2.02E-09,0.04508317,0,0.308546982,7.67575256,1.114658108,0.017742862,2.00E-08,7.07E-08,9.77932E+12,0.34634596,1.04575063
SR,100,100,100,100,100,83,37,100,100,100,0,100,100,100,100,100,0,87,0,100,100,100,100,100,100,0,100,0
vio,0,0,0,0,0,0.001457734,0.006069334,0,0,0,14.98775922,0,0,0,0,0,15.5,8.65E-06,21374.90807,0,0,0,0,0,0,15.5,0,21376.86651
,Best,Median,v,mean,Worst,std,SR,vio,,,,,,,,,,,,,,,,,,,,
1,3.02E-30,3.90E-29,0,3.84E-29,8.39E-29,2.20E-29,100,0,,,,,,,,,,,,,,,,,,,,
2,0,3.99E-29,0,4.84E-29,1.13E-28,3.24E-29,100,0,,,,,,,,,,,,,,,,,,,,
3,9.47E-30,8.64E-29,0,8.73E-29,1.95E-28,4.54E-29,100,0,,,,,,,,,,,,,,,,,,,,
4,13.57278715,13.57278715,0,13.57278715,13.57278715,2.87E-15,100,0,,,,,,,,,,,,,,,,,,,,
5,0,0,0,2.29E-29,2.86E-28,6.02E-29,100,0,,,,,,,,,,,,,,,,,,,,
6,85.48387955,144.3758489,0,149.1494495,223.825549,36.66450425,83,0.001457734,,,,,,,,,,,,,,,,,,,,
7,-702.0639253,-252.0879413,0.001250935,-281.6057577,53.48994138,195.3944957,37,0.006069334,,,,,,,,,,,,,,,,,,,,
8,-0.000283981,-0.000283981,0,-0.000283981,-0.000283981,5.21E-13,100,0,,,,,,,,,,,,,,,,,,,,
9,-0.002665507,-0.002665507,0,-0.002665507,-0.002665507,2.35E-16,100,0,,,,,,,,,,,,,,,,,,,,
10,-0.000102842,-0.000102842,0,-0.000102842,-0.000102842,3.34E-14,100,0,,,,,,,,,,,,,,,,,,,,
11,-1027.805046,-364.0422229,8.876972453,-382.7806746,-14.43112328,273.3280447,0,14.98775922,,,,,,,,,,,,,,,,,,,,
12,3.982526207,3.982543893,0,3.982593096,3.983098308,0.000124839,100,0,,,,,,,,,,,,,,,,,,,,
13,0,0,0,7.69E-28,1.10E-26,2.66E-27,100,0,,,,,,,,,,,,,,,,,,,,
14,1.408518126,1.408518126,0,1.408518126,1.408518126,8.74E-16,100,0,,,,,,,,,,,,,,,,,,,,
15,2.35612378,2.35612378,0,2.35612378,2.35612378,9.07E-16,100,0,,,,,,,,,,,,,,,,,,,,
16,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
17,1.029999975,1.029999975,15.5,1.029999976,1.029999984,2.02E-09,0,15.5,,,,,,,,,,,,,,,,,,,,
18,36.31492612,36.52108023,0,36.50826555,36.52878698,0.04508317,87,8.65E-06,,,,,,,,,,,,,,,,,,,,
19,0,0,21374.90807,0,0,0,0,21374.90807,,,,,,,,,,,,,,,,,,,,
20,0.677477837,1.2474766,0,1.304105677,1.852446585,0.308546982,100,0,,,,,,,,,,,,,,,,,,,,
21,3.98252525,9.775221451,0,10.1242258,28.33187564,7.67575256,100,0,,,,,,,,,,,,,,,,,,,,
22,2.19E-05,0.068515784,0,0.389335004,4.011164197,1.114658108,100,0,,,,,,,,,,,,,,,,,,,,
23,1.408518509,1.408519217,0,1.412141113,1.495441283,0.017742862,100,0,,,,,,,,,,,,,,,,,,,,
24,2.35612378,2.35612378,0,2.356123785,2.356123874,2.00E-08,100,0,,,,,,,,,,,,,,,,,,,,
25,6.283046086,6.283046086,0,6.283046117,6.283046346,7.07E-08,100,0,,,,,,,,,,,,,,,,,,,,
26,-9.44264E+14,-9.40348E+14,15.5,-9.37425E+14,-8.96168E+14,9.77932E+12,0,15.5,,,,,,,,,,,,,,,,,,,,
27,36.52037131,36.52061249,0,36.59135359,38.21739716,0.34634596,100,0,,,,,,,,,,,,,,,,,,,,
28,-0.65740927,0.181955637,21375.76429,0.6383744,3.317340216,1.04575063,0,21376.86651,,,,,,,,,,,,,,,,,,,,
